"nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"nm0000006","Ingrid Bergman",1915,1982,"actress,soundtrack,producer","tt0034583,tt0036855,tt0038109,tt0038787"
"nm0000012","Bette Davis",1908,1989,"actress,soundtrack,make_up_department","tt0035140,tt0042192,tt0056687,tt0031210"
"nm0000014","Olivia de Havilland",1916,2020,"actress,soundtrack","tt0031381,tt0040806,tt0041452,tt0029843"
"nm0000021","Joan Fontaine",1917,2013,"actress,soundtrack,producer","tt0032976,tt0040536,tt0035751,tt0034248"
"nm0000030","Audrey Hepburn",1929,1993,"actress,soundtrack","tt0054698,tt0056923,tt0058385,tt0046250"
"nm0000031","Katharine Hepburn",1907,2003,"actress,soundtrack,writer","tt0082846,tt0063227,tt0043265,tt0032904"
"nm0000038","Grace Kelly",1929,1982,"actress,soundtrack","tt0046912,tt0046874,tt0048728,tt0047396"
"nm0000046","Vivien Leigh",1913,1967,"actress,soundtrack,writer","tt0034272,tt0031381,tt0044081,tt0033238"
"nm0000047","Sophia Loren",1934,NA,"actress,soundtrack","tt0058335,tt0060121,tt0054749,tt0076085"
"nm0000072","Elizabeth Taylor",1932,2011,"actress,soundtrack,producer","tt0051459,tt0056937,tt0053318,tt0061184"
"nm0000113","Sandra Bullock",1964,NA,"producer,actress,soundtrack","tt0212346,tt0111257,tt1041829,tt1454468"
"nm0000149","Jodie Foster",1962,NA,"actress,director,producer","tt0476964,tt0118884,tt0102926,tt0075314"
"nm0000166","Helen Hunt",1963,NA,"actress,producer,director","tt0103484,tt0162222,tt0119822,tt0117998"
"nm0000173","Nicole Kidman",1967,NA,"actress,producer,soundtrack","tt0276919,tt0274558,tt0203009,tt0935075"
"nm0000194","Julianne Moore",1960,NA,"actress,producer,soundtrack","tt0118749,tt0842926,tt0175880,tt0297884"
"nm0000204","Natalie Portman",1981,NA,"actress,producer,soundtrack","tt0434409,tt0376541,tt0947798,tt0110413"
"nm0000210","Julia Roberts",1967,NA,"actress,producer,soundtrack","tt0119738,tt0376541,tt0100405,tt0195685"
"nm0000215","Susan Sarandon",1946,NA,"actress,producer,soundtrack","tt0112818,tt0109446,tt0103074,tt0120686"
"nm0000234","Charlize Theron",1975,NA,"producer,actress,soundtrack","tt1735898,tt5610554,tt0340855,tt1392190"
"nm0000267","Julie Andrews",1935,NA,"actress,soundtrack,writer","tt0247638,tt0084865,tt0059742,tt0058331"
"nm0000333","Cher",1946,NA,"soundtrack,actress,composer","tt1126591,tt0089560,tt0093565,tt0100140"
"nm0000398","Sally Field",1946,NA,"actress,producer,soundtrack","tt0076729,tt0098384,tt0443272,tt0109830"
"nm0000404","Jane Fonda",1937,NA,"actress,producer,soundtrack","tt0067309,tt0369735,tt3312830,tt0062711"
"nm0000456","Holly Hunter",1958,NA,"actress,producer,soundtrack","tt0328538,tt0107822,tt0092699,tt3606756"
"nm0000473","Diane Keaton",1946,NA,"actress,producer,soundtrack","tt0075686,tt0356680,tt0337741,tt0073312"
"nm0000511","Shirley MacLaine",1934,NA,"actress,soundtrack,writer","tt0098384,tt0048750,tt0086425,tt0053604"
"nm0000531","Frances McDormand",1957,NA,"actress,producer,soundtrack","tt1748122,tt5027774,tt0181875,tt0116282"
"nm0000545","Helen Mirren",1945,NA,"actress,director,producer","tt1245526,tt0436697,tt0280707,tt0975645"
"nm0000569","Gwyneth Paltrow",1972,NA,"actress,soundtrack,producer","tt0116191,tt1300854,tt0138097,tt0120148"
"nm0000651","Sissy Spacek",1949,NA,"actress,soundtrack,art_department","tt0247425,tt0074285,tt0080549,tt1454029"
"nm0000658","Meryl Streep",1949,NA,"actress,soundtrack,producer","tt0089755,tt0458352,tt1322269,tt0084707"
"nm0000659","Barbra Streisand",1942,NA,"soundtrack,producer,actress","tt0117057,tt0075265,tt0086619,tt0062994"
"nm0000668","Emma Thompson",1959,NA,"actress,writer,soundtrack","tt0107943,tt0314331,tt0114388,tt2140373"
"nm0000701","Kate Winslet",1975,NA,"actress,soundtrack","tt0114388,tt0959337,tt0338013,tt0120338"
"nm0000702","Reese Witherspoon",1976,NA,"producer,actress,soundtrack","tt0126886,tt0250494,tt2305051,tt0358273"
"nm0000843","Anne Bancroft",1931,2005,"actress,soundtrack,director","tt0076843,tt0061722,tt0119223,tt0056241"
"nm0000870","Kathy Bates",1948,NA,"actress,director,soundtrack","tt0120338,tt0109642,tt0257360,tt0100157"
"nm0000932","Halle Berry",1966,NA,"actress,producer,executive","tt0285742,tt0327554,tt0348836,tt0246460"
"nm0000949","Cate Blanchett",1969,NA,"actress,producer,writer","tt2402927,tt0127536,tt2334873,tt0338751"
"nm0000995","Ellen Burstyn",1932,NA,"actress,producer,soundtrack","tt0070047,tt0071115,tt11161474,tt0180093"
"nm0001046","Julie Christie",1940,NA,"actress,soundtrack","tt0060390,tt0059113,tt0069995,tt0491747"
"nm0001055","Claudette Colbert",1903,1996,"actress,soundtrack","tt0036367,tt0037280,tt0025316,tt0029929"
"nm0001076","Joan Crawford",1905,1977,"actress,soundtrack,writer","tt0042376,tt0037913,tt0056687,tt0046446"
"nm0001159","Faye Dunaway",1941,NA,"actress,producer,director","tt0061418,tt0074958,tt0082766,tt0071315"
"nm0001221","Louise Fletcher",1934,2022,"actress","tt0114857,tt0139134,tt0073486,tt0093036"
"nm0001333","Susan Hayward",1917,1975,"actress,soundtrack","tt0051758,tt0048191,tt0045333,tt0041672"
"nm0001448","Jessica Lange",1949,NA,"actress,producer,soundtrack","tt0083967,tt0074751,tt0084805,tt0109306"
"nm0001677","Ginger Rogers",1911,1995,"actress,soundtrack","tt0044916,tt0031983,tt0035019,tt0032671"
"nm0001749","Maggie Smith",1934,NA,"actress,soundtrack","tt0091867,tt0280707,tt3722070,tt1412386"
"nm0001788","Jessica Tandy",1909,1994,"actress,soundtrack","tt0097239,tt0092494,tt0056869,tt0101921"
"nm0002093","Greer Garson",1904,1996,"actress,soundtrack,miscellaneous","tt0035238,tt0031385,tt0032943,tt0035093"
"nm0005476","Hilary Swank",1974,NA,"actress,producer,soundtrack","tt0431308,tt0405159,tt2398231,tt0171804"
"nm0095804","Shirley Booth",1898,1992,"actress,soundtrack","tt0044509,tt0051913,tt0054545,tt0046676"
"nm0182839","Marion Cotillard",1975,NA,"actress,soundtrack,producer","tt1375666,tt2737050,tt2053425,tt0450188"
"nm0237597","Marie Dressler",1868,1934,"actress,soundtrack,writer","tt0023948,tt0020641,tt0021148,tt0022854"
"nm0310980","Janet Gaynor",1906,1984,"actress,soundtrack","tt0029606,tt0019429,tt0018455,tt0018379"
"nm0371040","Helen Hayes",1900,1993,"actress,soundtrack","tt0048947,tt0065377,tt0071607,tt0022386"
"nm0371041","Helen Hayes",1893,1932,"actress","tt0158157,tt0156021"
"nm0391062","Judy Holliday",1921,1965,"actress,soundtrack","tt0041090,tt0042276,tt0047123,tt0053645"
"nm0402469","Helen Hunt",NA,NA,"actress","tt0020604,tt0136492,tt0019896,tt0019353"
"nm0413559","Glenda Jackson",1936,NA,"actress,soundtrack","tt0066652,tt0067805,tt0070819,tt0066579"
"nm0428354","Jennifer Jones",1919,2009,"actress,soundtrack","tt0037280,tt0072308,tt0036377,tt0048316"
"nm0428355","Jennifer Jones",NA,NA,"actress,stunts","tt0130073,tt0076697,tt0081315,tt0291150"
"nm0428358","Jennifer Jones",NA,NA,"actress","tt0110797"
"nm0488953","Brie Larson",1989,NA,"actress,producer,soundtrack","tt3170832,tt4154796,tt4154664,tt2370248"
"nm0492821","Jennifer Lawrence",NA,NA,"actress","tt1634887,tt0118645,tt0197523,tt0337764"
"nm0536167","Anna Magnani",1908,1973,"actress,soundtrack,writer","tt0064952,tt0048563,tt0040092,tt0038890"
"nm0559144","Marlee Matlin",1965,NA,"actress,producer,soundtrack","tt0090830,tt0203259,tt10366460,tt0103512"
"nm0591485","Liza Minnelli",1946,NA,"soundtrack,actress,producer","tt0367279,tt0068327,tt0076451,tt0082031"
"nm0623658","Patricia Neal",1926,2010,"actress,soundtrack","tt0057163,tt0054698,tt0059309,tt0043456"
"nm0656183","Geraldine Page",1924,1987,"actress,soundtrack","tt0045883,tt0077742,tt0056541,tt0090203"
"nm0681933","Mary Pickford",1892,1979,"actress,producer,writer","tt0024539,tt0018183,tt0016028,tt0019788"
"nm0707023","Luise Rainer",1910,2014,"actress,soundtrack","tt0027698,tt0028944,tt0030202,tt0030079"
"nm0790454","Norma Shearer",1902,1983,"actress,soundtrack","tt0030418,tt0024865,tt0020827,tt0021885"
"nm0797531","Simone Signoret",1921,1985,"actress","tt0043386,tt0053226,tt0059712,tt0046911"
"nm0809186","Maggie Smith",NA,NA,"miscellaneous,actress","tt0063050,tt0072730"
"nm0809187","Maggie Smith",NA,NA,"actress","tt0129630"
"nm0831858","Emma Stone",NA,NA,"actress","tt0108558,tt3231410"
"nm0852332","Elizabeth Taylor",NA,NA,"actress","tt0184022"
"nm0902894","Ingrid Bergman",1930,1995,"miscellaneous,actress,producer","tt0080397,tt0077711,tt0353136,tt0083922"
"nm0940946","Joanne Woodward",1930,NA,"actress,producer,director","tt0068528,tt0107818,tt0051077,tt0063483"
"nm0943837","Jane Wyman",1917,2007,"actress,soundtrack,writer","tt0047811,tt0043350,tt0081858,tt0037884"
"nm0949835","Loretta Young",1913,2000,"actress,soundtrack,producer","tt0039370,tt0038991,tt0041257,tt0043390"
"nm10149227","Maggie Smith",NA,NA,"actress","tt9047570"
"nm10174390","Cher",NA,NA,"actress","tt8736450"
"nm10246281","Cher",NA,NA,"actress","tt8239806"
"nm10379708","Elizabeth Taylor",NA,NA,"actress","tt9559218"
"nm10415717","Elizabeth Taylor",NA,NA,"miscellaneous,actress","tt7030950,tt2723810"
"nm10834321","Maggie Smith",NA,NA,"actress,writer,music_department","tt10716688,tt10719592,tt10912594,tt10664248"
"nm10873184","Emma Stone",NA,NA,"actress,miscellaneous","tt6506346,tt8461910"
"nm11177846","Jennifer Jones",1976,NA,"actress","tt11396148,tt11243206,tt13119432"
"nm11312857","Emma Thompson",NA,NA,"actress","tt10816408"
"nm11609026","Jennifer Jones",NA,NA,"actress","tt12388334"
"nm11684180","Holly Hunter",NA,NA,"actress","tt12530858"
"nm11690981","Grace Kelly",NA,NA,"actress","tt8186318"
"nm12092526","Holly Hunter",NA,NA,"actress","tt2854852"
"nm12092870","Jennifer Jones",NA,NA,"actress","tt0805526"
"nm12292705","Elizabeth Taylor",NA,NA,"actress","tt13977988"
"nm1230880","Jennifer Jones",NA,NA,"actress,camera_department,production_designer","tt0330658,tt0337626"
"nm1297015","Emma Stone",1988,NA,"actress,soundtrack,producer","tt3783958,tt1872181,tt1454029,tt1282140"
"nm13507330","Jennifer Jones",NA,NA,"actress","tt0345998"
"nm13753695","Jennifer Jones",NA,NA,"actress","tt21040142,tt21085806"
"nm13858480","Emma Thompson",NA,NA,"actress","tt19891866"
"nm1469236","Olivia Colman",1974,NA,"actress,producer,soundtrack","tt5083738,tt3464902,tt9100054,tt1204340"
"nm1934130","Jennifer Jones",NA,NA,"actress","tt0458487,tt0473331"
"nm1943712","Jennifer Jones",NA,NA,"actress","tt0123668"
"nm2134998","Emma Thompson",NA,NA,"actress","tt3323588,tt2261923,tt1127177,tt0759936"
"nm2171496","Joan Crawford",NA,NA,"actress","tt0361507"
"nm2225369","Jennifer Lawrence",1990,NA,"actress,soundtrack,producer","tt1392170,tt1045658,tt1270798,tt1800241"
"nm3091504","Julia Roberts",NA,NA,"actress","tt1216489"
"nm3170894","Emma Thompson",NA,NA,"actress","tt1293797"
"nm3199648","Jennifer Jones",NA,NA,"actress","tt1597042,tt1326196,tt1381884"
"nm3378622","Helen Hunt",NA,NA,"actress","tt1401114"
"nm3423354","Joan Fontaine",NA,NA,"actress","tt0052225"
"nm3532637","Jennifer Jones",NA,NA,"actress","tt1470724"
"nm3680889","Jennifer Jones",NA,NA,"actress","tt1540141"
"nm3692160","Maggie Smith",NA,NA,"actress","tt3341096,tt3289816,tt1830073"
"nm3748679","Susan Hayward",NA,NA,"actress","tt0085294,tt2261503"
"nm3768420","Elizabeth Taylor",NA,NA,"actress","tt1582371"
"nm3843133","Jennifer Jones",NA,NA,"actress","tt1114239"
"nm3917514","Jennifer Jones",NA,NA,"actress,producer,writer","tt2008673,tt2091455,tt1659193,tt2018101"
"nm3986486","Julia Roberts",NA,NA,"actress","tt0134258,tt0244897"
"nm4009939","Jennifer Jones",NA,NA,"actress","tt1363144"
"nm4360989","Jennifer Jones",NA,NA,"actress","tt0098117"
"nm4566196","Elizabeth Taylor",NA,NA,"actress","tt2022372"
"nm4726337","Grace Kelly",NA,NA,"actress","tt2043992"
"nm4750897","Jennifer Jones",NA,NA,"actress","tt2098669"
"nm4892929","Grace Kelly",NA,NA,"actress,camera_department,stunts","tt14409592,tt7121652,tt10268482,tt10393330"
"nm4899845","Audrey Hepburn",NA,NA,"actress","tt2123253"
"nm5029042","Jennifer Jones",1974,NA,"actress","tt2385005,tt3446082"
"nm5160679","Julie Andrews",NA,NA,"actress","tt4238982,tt2272742,tt1623639,tt14432268"
"nm5238101","Julia Roberts",NA,NA,"actress","tt2366188"
"nm5375041","Audrey Hepburn",NA,NA,"actress","tt1490602"
"nm5886831","Jennifer Jones",NA,NA,"actress","tt2828698"
"nm5899977","Jennifer Jones",NA,NA,"actress","tt0472023,tt0979432"
"nm6011342","Jennifer Jones",NA,NA,"actress","tt3255428"
"nm6139691","Elizabeth Taylor",NA,NA,"actress","tt3391572"
"nm6186945","Maggie Smith",NA,NA,"actress","tt2948652"
"nm6212019","Julie Christie",NA,NA,"actress","tt3461624"
"nm6323340","Elizabeth Taylor",NA,NA,"actress","tt0462610"
"nm6401264","Jennifer Jones",NA,NA,"actress","tt3430462"
"nm6683880","Joan Crawford",NA,NA,"actress","tt0887744"
"nm7036982","Loretta Young",NA,NA,"actress","tt4325066,tt4462484"
"nm7143862","Joan Crawford",NA,NA,"actress","tt0127370"
"nm7231271","Maggie Smith",NA,NA,"actress","tt3972110,tt4944404,tt5688394,tt4172394"
"nm7344717","Jennifer Jones",NA,NA,"actress","tt4703630"
"nm7542441","Emma Thompson",NA,NA,"actress","tt4907976"
"nm7683180","Holly Hunter",NA,NA,"actress","tt5146878,tt5146826,tt21932738"
"nm7735190","Maggie Smith",NA,NA,"actress","tt5182146,tt5181886"
"nm7966888","Elizabeth Taylor",NA,NA,"actress","tt0124950"
"nm8171173","Maggie Smith",NA,NA,"actress","tt2523832"
"nm8377811","Elizabeth Taylor",NA,NA,"actress","tt5871386"
"nm8377872","Elizabeth Taylor",NA,NA,"actress","tt5871386"
"nm8384574","Maggie Smith",NA,NA,"actress","tt5684312"
"nm8440035","Emma Thompson",NA,NA,"actress","tt6064026"
"nm8657655","Julie Christie",NA,NA,"actress","tt6351188"
"nm8660151","Elizabeth Taylor",NA,NA,"actress","tt6961294,tt6353880"
"nm8668422","Jennifer Jones",NA,NA,"actress","tt5447414"
"nm8790969","Jennifer Jones",NA,NA,"actress","tt6546794"
"nm8903941","Jennifer Lawrence",NA,NA,"actress","tt5169052"
"nm9074945","Grace Kelly",NA,NA,"actress","tt7003572"
"nm9145707","Jennifer Jones",NA,NA,"actress","tt7160466"
"nm9219530","Audrey Hepburn",NA,NA,"actress,assistant_director,camera_department","tt7131764,tt13464766,tt7229828,tt17221144"
"nm9273909","Jennifer Jones",NA,NA,"actress","tt7365774"
"nm9895934","Jennifer Jones",NA,NA,"actress","tt4769758"
